,Cost of Single Family Home,Zip Code
318,208300.0,29810
319,208300.0,29812
320,208300.0,29817
321,208300.0,29819
322,208300.0,29821
323,208300.0,29824
324,208300.0,29827
325,208300.0,29828
326,116400.0,29829
327,86400.0,29831
328,208300.0,29835
329,208300.0,29836
330,208300.0,29838
331,208300.0,29840
332,113400.0,29841
333,208300.0,29843
334,208300.0,29845
335,208300.0,29847
336,208300.0,29848
337,208300.0,29849
338,77500.0,29851
339,208300.0,29853
340,80600.0,29856
341,208300.0,29899
342,283800.0,29909
343,293000.0,29910
344,208300.0,29911
345,208300.0,29912
346,546600.0,29915
347,208300.0,29916
348,208300.0,29918
349,208300.0,29922
350,208300.0,29924
351,448600.0,29926
352,147400.0,29927
353,755700.0,29928
354,208300.0,29929
355,171800.0,29935
356,208300.0,29936
357,230300.0,29940
358,208300.0,29941
359,208300.0,29943
360,208300.0,29944
361,208300.0,29945
