,zip,latitude,longitude,Cost of Single Family Home,Rent,Normalized Ratio,School Rating,Total Crimes,job_growth_per,job_growth_per_nom,Normalized Ratio_nom,Total Crimes_nom,School Rating_nom,summary_metric
0,29003,33.29,-81.03,208300,719,0.84,4.7,-185,-0.7,-0.53,0.68,-0.1,1.1,1.1500000000000001
1,29009,34.41,-80.34,80700,705,2.11,4.0,-5,2.1,1.58,1.71,-0.0,0.94,4.23
2,29010,34.21,-80.24,208300,694,0.81,2.3,-311,2.1,1.58,0.65,-0.17,0.54,2.6
3,29018,33.34,-80.68,81000,612,1.83,0.0,-35,2.1,1.58,1.48,-0.02,0.0,3.04
4,29020,34.26,-80.61,110400,719,1.58,4.2,-605,2.1,1.58,1.28,-0.34,0.98,3.5000000000000004
5,29030,33.55,-80.71,208300,625,0.73,0.0,0,2.1,1.58,0.59,0.0,0.0,2.17
6,29033,33.95,-81.06,111600,905,1.96,4.8,-1950,-0.7,-0.53,1.58,-1.09,1.12,1.08
7,29036,34.16,-81.34,209000,1178,1.36,7.9,-50,-0.7,-0.53,1.1,-0.03,1.85,2.39
8,29040,34.03,-80.45,106700,696,1.58,4.5,-3099,2.1,1.58,1.28,-1.73,1.05,2.1800000000000006
9,29042,33.31,-81.13,208300,468,0.54,2.3,-119,-0.7,-0.53,0.44,-0.07,0.54,0.38
10,29044,33.87,-80.69,92400,732,1.92,3.0,-8516,2.1,1.58,1.55,-4.74,0.7,-0.9100000000000004
11,29047,33.52,-80.57,208300,561,0.65,2.0,-11,2.1,1.58,0.53,-0.01,0.47,2.5700000000000003
12,29048,33.39,-80.34,126300,925,1.77,3.0,-23,2.1,1.58,1.43,-0.01,0.7,3.7
13,29053,33.81,-81.1,208300,814,0.95,3.8,-121,-0.7,-0.53,0.77,-0.07,0.89,1.06
14,29055,34.57,-80.9,208300,711,0.83,3.5,-178,-0.7,-0.53,0.67,-0.1,0.82,0.86
15,29056,33.57,-79.98,208300,597,0.69,2.3,-14,2.1,1.58,0.56,-0.01,0.54,2.6700000000000004
16,29059,33.32,-80.41,103100,541,1.27,2.0,-60,2.1,1.58,1.03,-0.03,0.47,3.0500000000000007
17,29061,33.88,-80.84,114100,894,1.9,2.8,-8505,-0.7,-0.53,1.54,-4.73,0.66,-3.0600000000000005
