Zip,City,Robbery,Violent Crime,Murder & Manslaughter,Forcible Rape,Aggravated Assault,Property Crime,Burglary,Larceny & Theft,Motor Vehicle Theft,Arson,Total
29483,North Charleston SC,624,1561,26,92,819,6768,1195,4660,913,34,8329
29483,Summerville SC,36,147,2,13,96,1470,154,1212,104,2,1617
29485,Lincolnville SC,0,0,0,0,0,0,0,0,0,0,0
29485,North Charleston SC,624,1561,26,92,819,6768,1195,4660,913,34,8329
29485,Summerville SC,36,147,2,13,96,1470,154,1212,104,2,1617
29487,Charleston SC,269,909,15,56,569,4246,746,3056,444,11,5155
29488,Walterboro SC,37,129,3,5,84,603,99,463,41,2,732
29492,Charleston SC,269,909,15,56,569,4246,746,3056,444,11,5155
29501,Florence SC,117,552,5,31,399,2757,586,2000,171,30,3309
29505,Florence SC,117,552,5,31,399,2757,586,2000,171,30,3309
29506,Florence SC,117,552,5,31,399,2757,586,2000,171,30,3309
29510,Andrews SC,2,37,1,2,32,178,31,138,9,1,215
29511,Aynor SC,0,31,0,0,31,42,3,35,4,0,73
29512,Bennettsville SC,14,186,1,4,167,679,131,525,23,2,865
29520,Cheraw SC,9,42,0,1,32,398,39,346,13,2,440
29525,Clio SC,0,3,2,0,1,16,4,12,0,0,19
29526,Conway SC,54,219,1,7,157,1412,310,1012,90,5,1631
29526,North Myrtle Beach SC,17,57,0,3,37,1576,291,1264,21,0,1633
29527,Conway SC,54,219,1,7,157,1412,310,1012,90,5,1631
29530,Coward SC,0,0,0,0,0,7,2,3,2,0,7
29532,Darlington SC,16,149,1,4,128,650,105,530,15,2,799
29541,Florence SC,117,552,5,31,399,2757,586,2000,171,30,3309
29544,Aynor SC,0,31,0,0,31,42,3,35,4,0,73
29550,Hartsville SC,41,234,2,13,178,1174,240,906,28,9,1408
29554,Hemingway SC,0,6,0,0,6,51,11,39,1,0,57
29555,Johnsonville SC,0,4,0,0,4,84,11,70,3,0,88
29556,Kingstree SC,6,21,0,0,15,244,34,202,8,1,265
29560,Lake City SC,15,94,2,8,69,671,126,510,35,2,765
29560,Scranton SC,0,0,0,0,0,3,1,2,0,0,3
29563,Lake View SC,4,8,0,0,4,44,20,21,3,0,52
29564,Lane SC,0,0,0,0,0,0,0,0,0,0,0
29565,Latta SC,10,60,0,1,49,64,6,52,6,0,124
29566,North Myrtle Beach SC,17,57,0,3,37,1576,291,1264,21,0,1633
29568,Myrtle Beach SC,222,506,2,49,233,5488,1011,3998,479,10,5994
29568,North Myrtle Beach SC,17,57,0,3,37,1576,291,1264,21,0,1633
29569,Loris SC,4,13,0,0,9,142,34,102,6,0,155
29570,McColl SC,2,21,0,0,19,163,32,125,6,6,184
29571,Marion SC,33,123,3,1,86,515,116,369,30,3,638
29572,Myrtle Beach SC,222,506,2,49,233,5488,1011,3998,479,10,5994
29572,North Myrtle Beach SC,17,57,0,3,37,1576,291,1264,21,0,1633
29574,Marion SC,33,123,3,1,86,515,116,369,30,3,638
29574,Mullins SC,15,68,1,3,49,493,97,374,22,1,561
29575,Myrtle Beach SC,222,506,2,49,233,5488,1011,3998,479,10,5994
29575,Surfside Beach SC,8,27,0,2,17,354,75,255,24,0,381
29577,Myrtle Beach SC,222,506,2,49,233,5488,1011,3998,479,10,5994
29579,Conway SC,54,219,1,7,157,1412,310,1012,90,5,1631
29579,Myrtle Beach SC,222,506,2,49,233,5488,1011,3998,479,10,5994
29579,North Myrtle Beach SC,17,57,0,3,37,1576,291,1264,21,0,1633
29581,Nichols SC,0,1,0,0,1,11,5,5,1,0,12
29582,Atlantic Beach SC,8,23,0,2,13,40,14,20,6,0,63
29582,North Myrtle Beach SC,17,57,0,3,37,1576,291,1264,21,0,1633
29583,Pamplico SC,1,6,0,0,5,29,15,11,3,1,35
29585,Pawleys Island SC,0,0,0,0,0,13,0,12,1,0,13
29588,Myrtle Beach SC,222,506,2,49,233,5488,1011,3998,479,10,5994
29590,Lane SC,0,0,0,0,0,0,0,0,0,0,0
29591,Coward SC,0,0,0,0,0,7,2,3,2,0,7
29591,Lake City SC,15,94,2,8,69,671,126,510,35,2,765
29591,Scranton SC,0,0,0,0,0,3,1,2,0,0,3
29593,Society Hill SC,2,3,0,0,1,15,4,8,3,0,18
29601,Greenville SC,172,659,8,26,453,3810,643,2805,362,5,4469
29605,Greenville SC,172,659,8,26,453,3810,643,2805,362,5,4469
29607,Greenville SC,172,659,8,26,453,3810,643,2805,362,5,4469
29607,Mauldin SC,15,92,1,5,71,545,70,427,48,5,637
29609,Greenville SC,172,659,8,26,453,3810,643,2805,362,5,4469
29611,Greenville SC,172,659,8,26,453,3810,643,2805,362,5,4469
29614,Greenville SC,172,659,8,26,453,3810,643,2805,362,5,4469
29615,Greenville SC,172,659,8,26,453,3810,643,2805,362,5,4469
29617,Travelers Rest SC,8,18,0,0,10,219,22,188,9,1,237
29620,Abbeville SC,2,93,1,1,89,203,65,130,8,1,296
29621,Anderson SC,43,280,1,15,221,1652,361,1161,130,8,1932
29624,Anderson SC,43,280,1,15,221,1652,361,1161,130,8,1932
29625,Anderson SC,43,280,1,15,221,1652,361,1161,130,8,1932
29627,Anderson SC,43,280,1,15,221,1652,361,1161,130,8,1932
29627,Belton SC,4,16,0,0,12,182,26,137,19,0,198
29628,Calhoun Falls SC,1,10,0,2,7,82,14,68,0,0,92
29630,Central SC,3,16,0,2,11,150,34,110,6,0,166
29630,Clemson SC,5,30,0,8,17,334,91,225,18,0,364
29631,Clemson SC,5,30,0,8,17,334,91,225,18,0,364
29639,Due West SC,0,2,0,0,2,16,2,13,1,0,18
29640,Easley SC,20,103,1,6,76,939,126,749,64,3,1042
29642,Easley SC,20,103,1,6,76,939,126,749,64,3,1042
29644,Fountain Inn SC,11,44,0,2,31,178,28,141,9,0,222
29646,Greenwood SC,35,300,3,11,251,1554,373,1112,69,8,1854
29649,Greenwood SC,35,300,3,11,251,1554,373,1112,69,8,1854
29650,Greer SC,25,69,1,4,39,812,185,543,84,2,881
29651,Duncan SC,1,19,0,2,16,133,32,91,10,0,152
29651,Greer SC,25,69,1,4,39,812,185,543,84,2,881
