,Cost of Single Family Home,Zip,Rental Value 2016,Ratio,Normalized Ratio
0,208300,29001,482,0.0023139702352376382,0.5599807969275085
1,208300,29003,719,0.0034517522803648583,0.8353240518482957
2,80700,29009,705,0.008736059479553903,2.1141263940520445
3,208300,29010,694,0.003331733077292367,0.8062794047047528
4,208300,29014,594,0.0028516562650024004,0.6901008161305809
5,87800,29015,579,0.006594533029612756,1.595876993166287
6,229700,29016,1136,0.004945581192860252,1.196830648672181
7,81000,29018,612,0.007555555555555556,1.8284444444444445
8,110400,29020,719,0.00651268115942029,1.57606884057971
9,208300,29030,625,0.00300048007681229,0.7261161785885741
10,208300,29031,708,0.003398943831012962,0.8225444071051369
11,68200,29032,824,0.012082111436950147,2.923870967741936
12,111600,29033,905,0.00810931899641577,1.9624551971326163
13,209000,29036,1178,0.005636363636363636,1.364
14,208300,29037,634,0.003043686989918387,0.7365722515602497
15,83600,29038,725,0.008672248803827751,2.098684210526316
16,75300,29039,614,0.008154050464807437,1.9732802124833997
17,106700,29040,696,0.006522961574507966,1.5785567010309278
18,208300,29042,468,0.002246759481517043,0.5437157945271244
19,92400,29044,732,0.007922077922077922,1.9171428571428573
20,208300,29047,561,0.0026932309169467113,0.6517618819011042
21,126300,29048,925,0.007323832145684877,1.7723673792557402
22,208300,29051,496,0.002381180988958233,0.5762457993278924
23,82300,29052,733,0.008906439854191981,2.1553584447144596
24,208300,29053,814,0.003907825252040326,0.945693710993759
25,144000,29054,716,0.0049722222222222225,1.203277777777778
26,208300,29055,711,0.003413346135381661,0.826029764762362
27,208300,29056,597,0.002866058569371099,0.693586173787806
28,117800,29058,761,0.006460101867572156,1.5633446519524616
29,103100,29059,541,0.00524733268671193,1.269854510184287
30,114100,29061,894,0.007835232252410167,1.8961262050832604
31,146100,29063,1188,0.00813141683778234,1.9678028747433265
32,208300,29065,0,0.0,0.0
33,85200,29067,617,0.007241784037558686,1.7525117370892018
34,78900,29069,634,0.008035487959442332,1.9445880861850444
35,201300,29072,1011,0.005022354694485842,1.2154098360655736
36,128600,29073,879,0.006835147744945568,1.6541057542768274
37,208300,29075,702,0.003370139222275564,0.8155736917906865
38,122400,29078,646,0.005277777777777778,1.2772222222222223
39,80500,29080,456,0.005664596273291926,1.370832298136646
40,208300,29081,565,0.00271243398943831,0.6564090254440711
41,208300,29082,458,0.002198751800288046,0.5320979356697071
42,102800,29102,0,0.0,0.0
43,74700,29104,644,0.00862115127175368,2.0863186077643907
44,208300,29105,683,0.0032789246279404704,0.7934997599615938
45,208300,29108,710,0.0034085453672587614,0.8248679788766202
46,208300,29111,597,0.002866058569371099,0.693586173787806
47,208300,29113,595,0.0028564570331253,0.6912626020163226
48,81000,29114,504,0.006222222222222222,1.5057777777777777
49,71500,29115,678,0.009482517482517482,2.2947692307692305
50,208300,29117,0,0.0,0.0
51,119900,29118,661,0.005512927439532944,1.3341284403669724
52,208300,29123,771,0.0037013922227556407,0.895736917906865
53,75500,29125,763,0.010105960264900663,2.4456423841059602
54,208300,29126,695,0.0033365338454152665,0.8074411905904945
55,208300,29127,767,0.0036821891502640423,0.8910897743638982
56,67200,29128,685,0.010193452380952381,2.4668154761904764
57,82300,29129,785,0.009538274605103281,2.308262454434994
58,208300,29130,807,0.0038742198751800286,0.9375612097935669
59,208300,29133,1063,0.0051032165146423425,1.2349783965434469
60,208300,29135,780,0.003744599135861738,0.9061929908785405
61,73400,29137,596,0.008119891008174387,1.9650136239782017
62,208300,29138,677,0.0032501200192030723,0.7865290446471435
63,110200,29142,722,0.006551724137931035,1.5855172413793104
64,208300,29145,971,0.004661545847335574,1.1280940950552087
65,65800,29146,687,0.010440729483282675,2.5266565349544075
66,78600,29150,737,0.009376590330788803,2.2691348600508903
67,83400,29153,865,0.010371702637889689,2.509952038369305
68,117100,29154,880,0.007514944491887276,1.8186165670367207
69,91300,29160,759,0.008313253012048192,2.0118072289156625
70,110500,29161,724,0.006552036199095022,1.5855927601809954
71,208300,29162,705,0.003384541526644263,0.8190590494479116
72,208300,29163,672,0.0032261161785885743,0.780720115218435
73,79600,29168,798,0.010025125628140704,2.4260804020100504
74,127300,29169,849,0.006669285153181461,1.6139670070699135
75,120700,29172,809,0.006702568351284175,1.6220215410107703
76,208300,29175,0,0.0,0.0
77,208300,29178,610,0.002928468554968795,0.7086893903024484
78,208300,29180,700,0.003360537686029765,0.8132501200192032
79,147300,29201,1034,0.007019687712152071,1.6987644263408013
80,70600,29203,821,0.011628895184135978,2.8141926345609067
81,114800,29204,830,0.007229965156794425,1.7496515679442508
82,209800,29205,791,0.0037702573879885605,0.9124022878932316
83,220400,29206,931,0.004224137931034482,1.0222413793103446
84,208300,29208,0,0.0,0.0
85,127900,29209,941,0.007357310398749023,1.7804691164972637
86,124200,29210,826,0.006650563607085346,1.6094363929146538
87,163500,29212,1000,0.0061162079510703364,1.4801223241590213
88,208300,29214,0,0.0,0.0
89,208300,29215,0,0.0,0.0
90,208300,29216,0,0.0,0.0
91,208300,29217,0,0.0,0.0
92,208300,29218,0,0.0,0.0
93,208300,29219,0,0.0,0.0
94,208300,29220,0,0.0,0.0
95,208300,29222,0,0.0,0.0
96,118700,29223,976,0.008222409435551812,1.9898230834035384
97,208300,29225,0,0.0,0.0
98,208300,29226,0,0.0,0.0
99,208300,29227,0,0.0,0.0
100,146600,29229,1169,0.007974079126875852,1.9297271487039562
101,123000,29301,792,0.006439024390243902,1.5582439024390242
102,142900,29302,770,0.005388383484954513,1.3039888033589921
103,88400,29303,653,0.007386877828054299,1.7876244343891403
104,84600,29306,698,0.008250591016548464,1.9966430260047283
105,142900,29307,761,0.005325402379286214,1.2887473757872638
106,144300,29316,852,0.005904365904365904,1.4288565488565488
107,208300,29318,0,0.0,0.0
108,208300,29319,0,0.0,0.0
109,208300,29321,756,0.003629380700912146,0.8783101296207393
110,174600,29322,0,0.0,0.0
111,125900,29323,697,0.005536139793486894,1.3397458300238283
