,zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2015,job_growth_per
224,29547,STANDARD,0,Hamer,"S Of Border, South Of The Border",,SC,Dillon County,America/New_York,843,,US,34.5,-79.33,2220,2.7
225,29550,STANDARD,0,Hartsville,,,SC,Darlington County,America/New_York,843,,US,34.36,-80.08,25260,2.1
226,29554,STANDARD,0,Hemingway,,Stuckey,SC,Williamsburg County,America/New_York,843,,US,33.75,-79.44,7420,2.7
227,29555,STANDARD,0,Johnsonville,Poston,,SC,Florence County,America/New_York,843,,US,33.81,-79.44,5160,2.7
228,29556,STANDARD,0,Kingstree,,,SC,Williamsburg County,America/New_York,843,,US,33.66,-79.82,9910,2.1
229,29560,STANDARD,0,Lake City,,,SC,Florence County,America/New_York,843,,US,33.86,-79.75,11160,2.1
230,29563,STANDARD,0,Lake View,,,SC,Dillon County,America/New_York,843,,US,34.34,-79.16,2090,2.7
231,29564,STANDARD,0,Lane,,,SC,Williamsburg County,America/New_York,843,,US,33.52,-79.88,710,2.1
232,29565,STANDARD,0,Latta,,,SC,Dillon County,America/New_York,843,,US,34.33,-79.43,5510,2.7
233,29566,STANDARD,0,Little River,,,SC,Horry County,America/New_York,843,,US,33.87,-78.63,15800,2.7
234,29567,STANDARD,0,Little Rock,,,SC,Dillon County,America/New_York,843,,US,34.56,-79.43,710,2.7
235,29568,STANDARD,0,Longs,,,SC,Horry County,America/New_York,843,,US,33.93,-78.73,11580,2.7
236,29569,STANDARD,0,Loris,,,SC,Horry County,America/New_York,843,,US,34.05,-78.89,13950,2.7
237,29570,STANDARD,0,Mc Coll,,Mccoll,SC,Marlboro County,America/New_York,843,,US,34.66,-79.54,3010,2.7
238,29571,STANDARD,0,Marion,,,SC,Marion County,America/New_York,843,,US,34.17,-79.4,12530,2.7
239,29572,STANDARD,0,Myrtle Beach,,,SC,Horry County,America/New_York,843,,US,33.77,-78.78,8450,2.7
240,29574,STANDARD,0,Mullins,,,SC,Marion County,America/New_York,843,,US,34.2,-79.25,9050,2.7
241,29575,STANDARD,0,Myrtle Beach,"Surfside Bch, Surfside Beach",Surfside,SC,Horry County,America/New_York,843,,US,33.63,-78.97,14840,2.7
242,29576,STANDARD,0,Murrells Inlet,Murrells Inlt,"Garden City, Garden City Beach",SC,Horry County,America/New_York,843,,US,33.55,-79.05,24970,2.7
243,29577,STANDARD,0,Myrtle Beach,,,SC,Horry County,America/New_York,843,,US,33.69,-78.89,26560,2.7
244,29579,STANDARD,0,Myrtle Beach,,Carolina Forest,SC,Horry County,America/New_York,843,,US,33.75,-78.92,36460,2.7
245,29580,STANDARD,0,Nesmith,,,SC,Williamsburg County,America/New_York,843,,US,33.65,-79.51,1000,2.7
246,29581,STANDARD,0,Nichols,,,SC,Horry County,America/New_York,843,,US,34.23,-79.14,3470,2.7
247,29582,STANDARD,0,North Myrtle Beach,"Atlantic Bch, Atlantic Beach, Cherry Grove, Cherry Grove Beach, N Myrtle Bch, Ocean Drive","Crescent Beach, N Myrtle Beach, Ocean Dr Beach, Ocean Drive Beach",SC,Horry County,America/New_York,843,,US,33.82,-78.67,14020,2.7
248,29583,STANDARD,0,Pamplico,,,SC,Florence County,America/New_York,843,,US,33.99,-79.56,4180,2.7
249,29584,STANDARD,0,Patrick,,,SC,Chesterfield County,America/New_York,843,,US,34.57,-80.04,1890,2.1
250,29585,STANDARD,0,Pawleys Island,"Litchfield, N Litchfield, Pawleys Isl",Pawleys Is,SC,Georgetown County,America/New_York,843,,US,33.52,-79.14,13950,2.7
251,29588,STANDARD,0,Myrtle Beach,,,SC,Horry County,America/New_York,843,,US,33.63,-79.02,38540,2.7
252,29590,STANDARD,0,Salters,Trio,,SC,Williamsburg County,America/New_York,843,,US,33.59,-79.85,1860,2.1
253,29591,STANDARD,0,Scranton,,,SC,Florence County,America/New_York,843,,US,33.91,-79.74,3850,2.1
254,29592,STANDARD,0,Sellers,,,SC,Dillon County,America/New_York,843,,US,34.28,-79.47,930,2.7
255,29593,STANDARD,0,Society Hill,,,SC,Darlington County,America/New_York,843,,US,34.5,-79.85,1550,2.1
256,29596,STANDARD,0,Wallace,,,SC,Marlboro County,America/New_York,843,,US,34.72,-79.84,1860,2.1
257,29601,STANDARD,0,Greenville,,Gville,SC,Greenville County,America/New_York,864,,US,34.85,-82.4,7900,2.5
258,29605,STANDARD,0,Greenville,,Gville,SC,Greenville County,America/New_York,864,,US,34.77,-82.38,32250,2.5
259,29607,STANDARD,0,Greenville,,"Batesville, Gville",SC,Greenville County,America/New_York,864,,US,34.83,-82.37,34640,2.5
260,29609,STANDARD,0,Greenville,,Gville,SC,Greenville County,America/New_York,864,,US,34.91,-82.39,25790,2.5
261,29611,STANDARD,0,Greenville,Powdersville,"Gville, Piedmont",SC,Greenville County,America/New_York,864,,US,34.83,-82.46,26360,2.5
262,29613,UNIQUE,0,Greenville,,"Furman University, Gville",SC,Greenville County,America/New_York,864,,US,34.92,-82.44,64,2.5
263,29614,UNIQUE,0,Greenville,,"Bob Jones University, Gville",SC,Greenville County,America/New_York,864,,US,34.87,-82.36,368,2.5
264,29615,STANDARD,0,Greenville,,Gville,SC,Greenville County,America/New_York,864,,US,34.86,-82.3,34130,2.5
265,29617,STANDARD,0,Greenville,,Gville,SC,Greenville County,America/New_York,864,,US,34.91,-82.47,22810,2.5
266,29620,STANDARD,0,Abbeville,,,SC,Abbeville County,America/New_York,864,,US,34.17,-82.37,10840,2.5
267,29621,STANDARD,0,Anderson,,And,SC,Anderson County,America/New_York,864,,US,34.51,-82.64,35680,2.5
268,29624,STANDARD,0,Anderson,,And,SC,Anderson County,America/New_York,864,,US,34.44,-82.62,11990,2.5
