Month,ZipCode,ZipName,Property Type,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
201803,29829,"Graniteville, SC",Single Family Home,,197918.5,0.028,0.0977,115,-0.0213,-0.1958,51.5,0.051,-0.5442,22,-0.5926,-0.1538,14,-0.5882,-0.2222,14,-0.4615,-0.4615,0,,,195506,0.0115,0.0766,115,-0.0213,-0.1958,0,0,0
201803,29832,"Johnston, SC",Single Family Home,,129500,-0.2602,-0.1072,31,-0.0313,0.1923,133.5,0.2654,-0.151,0,-1,-1,0,,,2,-0.5,-0.5,0,,,230142,-0.1184,-0.1647,31,-0.0313,0.1923,0,0,0
201803,29835,"McCormick, SC",Single Family Home,*,250000,0.0318,0.0892,88,0.0233,,155.5,0.1207,0.0114,4,-0.6,-0.5,0,,,6,-0.4,-0.5,0,,-1,285829,0.0369,0.2045,88,0.0233,0.3435,0,0,-0.0077
201803,29841,"North Augusta, SC",Single Family Home,,177500,-0.0486,0.0987,127.5,-0.0078,-0.0827,64.25,-0.2019,-0.3255,36,-0.2174,-0.28,0,,,20,-0.2308,-0.2857,0,,,273519,-0.0052,0.168,127.5,-0.0078,-0.0827,0,0,0
201803,29842,"Beech Island, SC",Single Family Home,*,274450,0.3388,,28,-0.3086,,54.25,0.1421,,0,-1,-1,0,-1,-1,4,1,-0.3333,0,,,302184,0.096,0.2439,28,-0.3086,-0.5659,0,0,0
201803,29851,"Warrenville, SC",Single Family Home,*,139950,0.0566,,26,0.0612,-0.2,80.5,-0.199,-0.195,6,,-0.25,0,,-1,2,-0.5,0,0,,,237765,0.2457,0.6374,26,0.0612,-0.2,0,0,0
201803,29860,"North Augusta, SC",Single Family Home,,270000,0.0037,0.0727,93.5,0.0936,-0.0209,64.5,0.157,-0.3828,32,0.7778,0.1429,0,-1,-1,14,-0.3,-0.5,0,,,293777,0.0225,-0.0641,93.5,0.0936,-0.0209,0,0,0
201803,29902,"Beaufort, SC",Single Family Home,,349800,-0.0298,-0.1125,129,0.0617,0.1121,63.5,-0.3618,-0.3454,42,0.05,0.3125,2,,,40,1.8571,0.8182,54,0.4026,0.1134,507233,-0.0257,-0.0254,183,0.1438,0.1125,0.4186,0.1017,0.0005
201803,29906,"Beaufort, SC",Single Family Home,*,267650.25,0.0098,,94,0.0108,,52.25,-0.0369,,32,-0.2,0.4545,0,,-1,26,0.3,0.1818,56,0.5342,0.5342,352774,0.0503,-0.1308,150,0.1583,0.3333,0.5957,0.2033,0.1155
201803,29907,"Beaufort, SC",Single Family Home,*,398550,0.049,-0.0328,148.5,0.0722,-0.0511,103,-0.0804,,52,0.1818,-0.1333,0,,,22,-0.0833,-0.3889,52,0.1429,-0.037,507835,0.0318,-0.01,200.5,0.0897,-0.0475,0.3502,0.0216,0.0051
